learning_rate,min_child_samples,max_depth,best_iteration,best_val_loss,best_rmse
0.1,1,5,11,0.6782632777425439,0.7641362969642358
0.1,1,10,11,0.6783573698462206,0.7638576333627753
0.1,5,5,11,0.6773863956895599,0.7643922688026344
0.1,5,10,11,0.6772293561239836,0.7597954462152444
0.1,10,5,11,0.6770886434454588,0.763065232649246
0.1,10,10,11,0.6763238487573107,0.7606792801695421
0.05,1,5,11,0.7331950749487516,0.8495022172468066
0.05,1,10,11,0.7316936446672059,0.8445731860634622
0.05,5,5,11,0.7328482801401254,0.8499550491942481
0.05,5,10,11,0.731265277489875,0.8449179155700606
0.05,10,5,11,0.7327082077351441,0.8487043439243097
0.05,10,10,11,0.7309271167837617,0.8446051792334721
0.005,1,5,11,0.8806128434153631,0.9406725127951039
0.005,1,10,11,0.8802066443759039,0.9402106088715808
0.005,5,5,11,0.8804562680682089,0.940693815584625
0.005,5,10,11,0.880111941467635,0.9400740247060347
0.005,10,5,11,0.8804336400153389,0.9406352739219359
0.005,10,10,11,0.879992778762212,0.9400585478446934
0.0005,1,5,11,0.9100871506566988,0.9517782631158823
0.0005,1,10,11,0.9100161218453486,0.9517782631158823
0.0005,5,5,11,0.9100699633506902,0.9517782631158823
0.0005,5,10,11,0.9100137290006814,0.9517782631158823
0.0005,10,5,11,0.9100609749131133,0.9517782631158823
0.0005,10,10,11,0.9099984887171196,0.9517782631158823
