"name","character_name"
"Reeves, Keanu","Neo"
"Fishburne, Laurence","Morpheus"
"Moss, Carrie-Anne","Trinity"
"Weaving, Hugo","Agent Smith"
"Foster, Gloria","Oracle"
"Pantoliano, Joe","Cypher"
"Chong, Marcus","Tank"
"Arahanga, Julian","Apoc"
"Doran, Matt","Mouse"
"McClory, Belinda","Switch"
"Parker, Anthony Ray","Dozer"
"Goddard, Paul","Agent Brown"
"Taylor, Robert","Agent Jones"
"Aston, David","Rhineheart"
"Gray, Marc Aden","Choi"
"Nicodemou, Ada","Dujour"
"Gordon, Deni","Priestess"
"Witt, Rowan","Spoon Boy"
"Witt, Eleanor","Potential"
"Brown, Tamara","Potential"
"Pender, Janaya","Potential"
"White, Adryn","Potential"
"Tjen, Natalie","Potential"
"Young, Bill","Lieutenant"
"O'Connor, David","FedEx Man"
"Ball, Jeremy","Businessman"
"Johnson, Fiona","Woman in Red"
"Lawrence, Harry","Old Man"
"Dodd, Steve","Blind Man"
"Quinton, Luke","Security Guard"
"Woodward, Lawrence","Guard"
"Butcher, Michael","Cop Who Captures Neo"
"Ledger, Bernard","Big Cop"
"Simper, Robert","Cop"
"Pattinson, Chris","Cop"
"Harbach, Nigel","Parking Cop"
"Morrison, Rana","Shaylae - Woman in Office"
"Duncan, Mike","Twin"
"Edgerton, Nash","Resistance Member"
